ID,Question,Answer,Language
TRAIN_0000,Mɛyɛ dɛn asɔ m'abaa foforɔ no ho afiri asramm mmoawa ho? ?,"Ma abofra no mda tumpan a yɛde nnuruyɛ ho mu, na tew wo fie ho na nsuo antan hɔ a mmoa bɛwo mu.",Akan
TRAIN_0001,Nnyonnyola ebikolebwa okutangira siriimu mu baana?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0002,Nnyonnyola ebikolebwa okutangira siriimu mu baana? ?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0003,Nnyonnyola ebikolebwa okutangira siriimu mu baana?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0004,Dɛn nkyerɛwee na ɛkyerɛ sɛ nyinsɛn mu bɔne bi reba? ?,"Sɛ mogya fi wo mu, wo tirim yɛ wo yaw dendeenden, wo nan anaa w'anim hon, anaa wanya yaw kɛse a, kɔ ayaresabea ntɛm ara.",Akan
TRAIN_0005,Obubonero obw'akabi mu lubuto kuki?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0006,Obubonero obw'akabi mu lubuto kuki? ?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0007,አዲስ የተወለደ ልጅን ከወባ በሽታ እንዴት መከላከል ይቻላል?,ህፃኑ በአልጋ አጎበር ውስጥ እንዲተኛ ማድረግ እና በአካባቢው ላይ የቆመ ውሃ እንዳይኖር በማድረግ የወባ ትንኝ መራባትን መከላከል ይቻላል።,Amharic
TRAIN_0008,Mɛyɛ dɛn asɔ m'abaa foforɔ no ho afiri asramm mmoawa ho? ?,"Ma abofra no mda tumpan a yɛde nnuruyɛ ho mu, na tew wo fie ho na nsuo antan hɔ a mmoa bɛwo mu.",Akan
TRAIN_0009,Nifanye nini kumlinda mtoto mchanga dhidi ya malaria?,"Hakikisha mtoto analala chini ya chandarua kilichotiwa dawa, na uweke mazingira ya nyumbani safi ili kuzuia mbu kuzaliana. Asante.",Kiswahili
TRAIN_0010,በእርግዝና ወቅት አደገኛ ምልክቶች ምንድን ናቸው? ?,ከባድ የሆድ ህመም፣ ደም መፍሰስ፣ የእጅና የፊት እብጠት፣ እና ከፍተኛ ትኩሳት አደገኛ ምልክቶች ናቸው። በአስቸኳይ ወደ ህክምና ተቋም ይሂዱ።,Amharic
TRAIN_0011,Mɛyɛ dɛn asɔ m'abaa foforɔ no ho afiri asramm mmoawa ho?,"Ma abofra no mda tumpan a yɛde nnuruyɛ ho mu, na tew wo fie ho na nsuo antan hɔ a mmoa bɛwo mu.",Akan
TRAIN_0012,Obubonero obw'akabi mu lubuto kuki? ?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0013,በእርግዝና ወቅት አደገኛ ምልክቶች ምንድን ናቸው?,ከባድ የሆድ ህመም፣ ደም መፍሰስ፣ የእጅና የፊት እብጠት፣ እና ከፍተኛ ትኩሳት አደገኛ ምልክቶች ናቸው። በአስቸኳይ ወደ ህክምና ተቋም ይሂዱ።,Amharic
TRAIN_0014,Nifanye nini kumlinda mtoto mchanga dhidi ya malaria? ?,"Hakikisha mtoto analala chini ya chandarua kilichotiwa dawa, na uweke mazingira ya nyumbani safi ili kuzuia mbu kuzaliana.",Kiswahili
TRAIN_0015,Mɛyɛ dɛn asɔ m'abaa foforɔ no ho afiri asramm mmoawa ho?,"Ma abofra no mda tumpan a yɛde nnuruyɛ ho mu, na tew wo fie ho na nsuo antan hɔ a mmoa bɛwo mu.",Akan
TRAIN_0016,በእርግዝና ወቅት አደገኛ ምልክቶች ምንድን ናቸው? ?,ከባድ የሆድ ህመም፣ ደም መፍሰስ፣ የእጅና የፊት እብጠት፣ እና ከፍተኛ ትኩሳት አደገኛ ምልክቶች ናቸው። በአስቸኳይ ወደ ህክምና ተቋም ይሂዱ።,Amharic
TRAIN_0017,Nifanye nini kumlinda mtoto mchanga dhidi ya malaria?,"Hakikisha mtoto analala chini ya chandarua kilichotiwa dawa, na uweke mazingira ya nyumbani safi ili kuzuia mbu kuzaliana.",Kiswahili
TRAIN_0018,Nifanye nini kumlinda mtoto mchanga dhidi ya malaria? ?,"Hakikisha mtoto analala chini ya chandarua kilichotiwa dawa, na uweke mazingira ya nyumbani safi ili kuzuia mbu kuzaliana. Asante.",Kiswahili
TRAIN_0019,Nnyonnyola ebikolebwa okutangira siriimu mu baana?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0020,"Je, ni dalili gani za hatari wakati wa ujauzito? ?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja.",Kiswahili
TRAIN_0021,Dɛn nkyerɛwee na ɛkyerɛ sɛ nyinsɛn mu bɔne bi reba?,"Sɛ mogya fi wo mu, wo tirim yɛ wo yaw dendeenden, wo nan anaa w'anim hon, anaa wanya yaw kɛse a, kɔ ayaresabea ntɛm ara.",Akan
TRAIN_0022,Nifanye nini kumlinda mtoto mchanga dhidi ya malaria? ?,"Hakikisha mtoto analala chini ya chandarua kilichotiwa dawa, na uweke mazingira ya nyumbani safi ili kuzuia mbu kuzaliana.",Kiswahili
TRAIN_0023,Mɛyɛ dɛn asɔ m'abaa foforɔ no ho afiri asramm mmoawa ho?,"Ma abofra no mda tumpan a yɛde nnuruyɛ ho mu, na tew wo fie ho na nsuo antan hɔ a mmoa bɛwo mu.",Akan
TRAIN_0024,Mɛyɛ dɛn asɔ m'abaa foforɔ no ho afiri asramm mmoawa ho? ?,"Ma abofra no mda tumpan a yɛde nnuruyɛ ho mu, na tew wo fie ho na nsuo antan hɔ a mmoa bɛwo mu.",Akan
TRAIN_0025,በእርግዝና ወቅት አደገኛ ምልክቶች ምንድን ናቸው?,ከባድ የሆድ ህመም፣ ደም መፍሰስ፣ የእጅና የፊት እብጠት፣ እና ከፍተኛ ትኩሳት አደገኛ ምልክቶች ናቸው። በአስቸኳይ ወደ ህክምና ተቋም ይሂዱ።,Amharic
TRAIN_0026,አዲስ የተወለደ ልጅን ከወባ በሽታ እንዴት መከላከል ይቻላል? ?,ህፃኑ በአልጋ አጎበር ውስጥ እንዲተኛ ማድረግ እና በአካባቢው ላይ የቆመ ውሃ እንዳይኖር በማድረግ የወባ ትንኝ መራባትን መከላከል ይቻላል።,Amharic
TRAIN_0027,Dɛn nkyerɛwee na ɛkyerɛ sɛ nyinsɛn mu bɔne bi reba?,"Sɛ mogya fi wo mu, wo tirim yɛ wo yaw dendeenden, wo nan anaa w'anim hon, anaa wanya yaw kɛse a, kɔ ayaresabea ntɛm ara.",Akan
TRAIN_0028,Obubonero obw'akabi mu lubuto kuki? ?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0029,Nnyonnyola ebikolebwa okutangira siriimu mu baana?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0030,Dɛn nkyerɛwee na ɛkyerɛ sɛ nyinsɛn mu bɔne bi reba? ?,"Sɛ mogya fi wo mu, wo tirim yɛ wo yaw dendeenden, wo nan anaa w'anim hon, anaa wanya yaw kɛse a, kɔ ayaresabea ntɛm ara.",Akan
TRAIN_0031,Dɛn nkyerɛwee na ɛkyerɛ sɛ nyinsɛn mu bɔne bi reba?,"Sɛ mogya fi wo mu, wo tirim yɛ wo yaw dendeenden, wo nan anaa w'anim hon, anaa wanya yaw kɛse a, kɔ ayaresabea ntɛm ara.",Akan
TRAIN_0032,አዲስ የተወለደ ልጅን ከወባ በሽታ እንዴት መከላከል ይቻላል? ?,ህፃኑ በአልጋ አጎበር ውስጥ እንዲተኛ ማድረግ እና በአካባቢው ላይ የቆመ ውሃ እንዳይኖር በማድረግ የወባ ትንኝ መራባትን መከላከል ይቻላል።,Amharic
TRAIN_0033,Nifanye nini kumlinda mtoto mchanga dhidi ya malaria?,"Hakikisha mtoto analala chini ya chandarua kilichotiwa dawa, na uweke mazingira ya nyumbani safi ili kuzuia mbu kuzaliana. Asante.",Kiswahili
TRAIN_0034,Obubonero obw'akabi mu lubuto kuki? ?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0035,Nnyonnyola ebikolebwa okutangira siriimu mu baana?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0036,በእርግዝና ወቅት አደገኛ ምልክቶች ምንድን ናቸው? ?,ከባድ የሆድ ህመም፣ ደም መፍሰስ፣ የእጅና የፊት እብጠት፣ እና ከፍተኛ ትኩሳት አደገኛ ምልክቶች ናቸው። በአስቸኳይ ወደ ህክምና ተቋም ይሂዱ።,Amharic
TRAIN_0037,Obubonero obw'akabi mu lubuto kuki?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0038,Nnyonnyola ebikolebwa okutangira siriimu mu baana? ?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0039,በእርግዝና ወቅት አደገኛ ምልክቶች ምንድን ናቸው?,ከባድ የሆድ ህመም፣ ደም መፍሰስ፣ የእጅና የፊት እብጠት፣ እና ከፍተኛ ትኩሳት አደገኛ ምልክቶች ናቸው። በአስቸኳይ ወደ ህክምና ተቋም ይሂዱ።,Amharic
TRAIN_0040,"Je, ni dalili gani za hatari wakati wa ujauzito? ?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja.",Kiswahili
TRAIN_0041,"Je, ni dalili gani za hatari wakati wa ujauzito?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja.",Kiswahili
TRAIN_0042,Nnyonnyola ebikolebwa okutangira siriimu mu baana? ?,Okutangira okusiiga siriimu okuva ku maama okudda ku mwana (PMTCT) kusinga kukolebwa mu kukozesa eddagala lya ARVs mu budde bw'okusaba n'okuzaala.,Luganda
TRAIN_0043,"Je, ni dalili gani za hatari wakati wa ujauzito?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja.",Kiswahili
TRAIN_0044,"Je, ni dalili gani za hatari wakati wa ujauzito? ?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja.",Kiswahili
TRAIN_0045,"Je, ni dalili gani za hatari wakati wa ujauzito?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja. Asante.",Kiswahili
TRAIN_0046,Mɛyɛ dɛn asɔ m'abaa foforɔ no ho afiri asramm mmoawa ho? ?,"Ma abofra no mda tumpan a yɛde nnuruyɛ ho mu, na tew wo fie ho na nsuo antan hɔ a mmoa bɛwo mu.",Akan
TRAIN_0047,Obubonero obw'akabi mu lubuto kuki?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0048,አዲስ የተወለደ ልጅን ከወባ በሽታ እንዴት መከላከል ይቻላል? ?,ህፃኑ በአልጋ አጎበር ውስጥ እንዲተኛ ማድረግ እና በአካባቢው ላይ የቆመ ውሃ እንዳይኖር በማድረግ የወባ ትንኝ መራባትን መከላከል ይቻላል።,Amharic
TRAIN_0049,"Je, ni dalili gani za hatari wakati wa ujauzito?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja.",Kiswahili
TRAIN_0050,"Je, ni dalili gani za hatari wakati wa ujauzito? ?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja.",Kiswahili
TRAIN_0051,Nifanye nini kumlinda mtoto mchanga dhidi ya malaria?,"Hakikisha mtoto analala chini ya chandarua kilichotiwa dawa, na uweke mazingira ya nyumbani safi ili kuzuia mbu kuzaliana. Asante.",Kiswahili
TRAIN_0052,Dɛn nkyerɛwee na ɛkyerɛ sɛ nyinsɛn mu bɔne bi reba? ?,"Sɛ mogya fi wo mu, wo tirim yɛ wo yaw dendeenden, wo nan anaa w'anim hon, anaa wanya yaw kɛse a, kɔ ayaresabea ntɛm ara.",Akan
TRAIN_0053,በእርግዝና ወቅት አደገኛ ምልክቶች ምንድን ናቸው?,ከባድ የሆድ ህመም፣ ደም መፍሰስ፣ የእጅና የፊት እብጠት፣ እና ከፍተኛ ትኩሳት አደገኛ ምልክቶች ናቸው። በአስቸኳይ ወደ ህክምና ተቋም ይሂዱ።,Amharic
TRAIN_0054,"Je, ni dalili gani za hatari wakati wa ujauzito? ?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja. Asante.",Kiswahili
TRAIN_0055,"Je, ni dalili gani za hatari wakati wa ujauzito?","Dalili za hatari ni pamoja na kuvuja damu, maumivu makali ya tumbo, kuvimba uso au mikono, na homa kali. Tafadhali nenda kliniki mara moja.",Kiswahili
TRAIN_0056,Obubonero obw'akabi mu lubuto kuki? ?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0057,Obubonero obw'akabi mu lubuto kuki?,"Obubonero obw'akabi mwe muli okutonnya omusaayi, omutwe okulumya ennyo, okuzimba ebigere, n'omusujja ogw'amaanyi. Genda mu ddwaaliro mangu.",Luganda
TRAIN_0058,Dɛn nkyerɛwee na ɛkyerɛ sɛ nyinsɛn mu bɔne bi reba? ?,"Sɛ mogya fi wo mu, wo tirim yɛ wo yaw dendeenden, wo nan anaa w'anim hon, anaa wanya yaw kɛse a, kɔ ayaresabea ntɛm ara.",Akan
